"","Name","Year","Acre_feet","irrig_temp","irrig_prcp","AF_used","class1_urban","et","lt","d.et","d.urb","d.use","d.prcp","d.temp","d.Acre_feet","scale_d.use","scale_d.urb","scale_d.prcp","scale_d.temp","scale_d.et"
"1168","Penitentiary Canal",2000,1634.97896,25.18610553,186.4714659,0,46.37188209,0.763060032,7.39938521474703,-0.0113722169999999,9.52380953,-689,105.99015006,-0.35177466,33.7190859999998,-0.0256328815628772,2.29806365340525,0.848953788147043,-0.11534586518326,-0.0672027064487643
"1169","Penitentiary Canal",2001,1390.416415,26.65228604,108.7396991,757,79.02494331,0.63072929,7.23735856039656,-0.132330742,32.65306122,757,-77.7317668,1.46618051,-244.562545,0.0381150130367378,8.16166601509339,-0.683844554488114,0.639847608481635,-0.690073967880248
"1170","Penitentiary Canal",2002,1755.375931,25.90608787,55.85860907,699,87.75510204,0.6184089,7.47043831865921,-0.01232039,8.73015873,-58,-52.88109003,-0.74619817,364.959516,0.00218518309297139,2.09686160988009,-0.476514493832127,-0.279192623083236,-0.0720852867593733
"1171","Penitentiary Canal",2003,1445.35869,27.19414451,121.0267288,625,90.58956916,0.711646023,7.27611279811667,0.093237123,2.83446712,-74,65.16811973,1.28805664,-310.017241,0.00147981219836984,0.602217869930328,0.508374169219448,0.56585349336386,0.471479057100475
"1172","Penitentiary Canal",2004,1507.044782,26.05689478,162.732707,598,91.15646259,0.644159396,7.31790591417702,-0.067486627,0.566893430000007,-27,41.7059782,-1.13724973,61.6860919999999,0.00355183920126189,0.0273548945866653,0.31262870636724,-0.441638645323969,-0.356161697484604
"1173","Penitentiary Canal",2005,1509.028258,25.87976542,184.6962396,588,91.60997732,0.642235365,7.31922118490133,-0.00192403100000005,0.453514729999995,-10,21.9635326,-0.177129360000002,1.98347600000011,0.00430129577677604,-0.00138825810999698,0.14791679603863,-0.0427967765463565,-0.0185496368775274
"1174","Penitentiary Canal",2006,1634.582265,26.53005949,145.3624062,665,92.17687075,0.689884177,7.399142555274,0.047648812,0.566893430000007,77,-39.3338334,0.650294070000001,125.554007,0.00813675001617196,0.0273548945866653,-0.363489260563193,0.300921696056807,0.236723807074893
"1175","Penitentiary Canal",2007,1817.657065,27.12265107,118.6718804,800,92.63038549,0.668456996,7.50530362383065,-0.0214271810000001,0.453514739999989,135,-26.6905258,0.592591580000001,183.0748,0.0106937195091026,-0.00138825557485284,-0.258005705492983,0.27695160890542,-0.118980355939185
"1176","Penitentiary Canal",2008,1758.589161,25.751037,113.011428,670,93.53741497,0.655007404,7.47226715350046,-0.013449592,0.907029480000006,-130,-5.66045240000001,-1.37161407,-59.067904,-0.000988985932735587,0.113584340000914,-0.0825510716423063,-0.538995512505562,-0.077900068926657
"1177","Penitentiary Canal",2009,1682.661714,23.84403503,316.7165039,522,93.65079365,0.7094321,7.42813217220471,0.054424696,0.113378679999997,-148,203.7050759,-1.90700197,-75.927447,-0.00178252818916233,-0.0876177035242453,1.66419281318075,-0.761400033052211,0.271615960516689
